Part	PN
R4	CRCW06030000Z0EAC
R5	CRCW06030000Z0EAC
R6	CRCW06030000Z0EAC
R7	CRCW06030000Z0EAC
R8	CRCW06030000Z0EAC
R11	CRCW06030000Z0EAC
R16	CRCW06030000Z0EAC
R32	CRCW06030000Z0EAC
R43	CRCW06030000Z0EAC
R46	CRCW06030000Z0EAC
R47	CRCW06030000Z0EAC
R65	CRCW06030000Z0EAC
R26	CRCW060310R0FKEAC
R27	CRCW060310R0FKEAC
R17	CRCW060347R0FKEAC
R20	CRCW060347R0FKEAC
R31	CRCW060347R0FKEAC
R48	CRCW060347R0FKEAC
R55	CRCW060347R0FKEAC
R63	CRCW060347R0FKEAC
R10	CRCW0603100RFKEAC
R12	CRCW0603100RFKEAC
R13	CRCW0603100RFKEAC
R19	CRCW0603100RFKEAC
R24	CRCW0603100RFKEAC
R3	CRCW0603100RFKEAC
R33	CRCW0603330RFKEAC
R34	CRCW0603330RFKEAC
J8	1140084168
J9	61300411121
S_D1	61300411121
S_D2	61300411121
Q7	
R9	CRCW0603100KFKEAC
R21	CRCW0603100KFKEAC
R53	CRCW0603100KFKEAC
R54	CRCW0603100KFKEAC
C1	CC0603KRX7R8BB104
R44	CRCW06030000Z0EAC
C3	CC0603KRX7R8BB104
C4	CC0603KRX7R8BB104
C5	CC0603KRX7R8BB104
R14	CRCW06030000Z0EAC
C9	CC0603KRX7R8BB104
C12	CC0603KRX7R8BB104
C13	CC0603KRX7R8BB104
C15	CC0603KRX7R8BB104
C18	CC0603KRX7R8BB104
C19	CC0603KRX7R8BB104
C21	CC0603KRX7R8BB104
C22	CC0603KRX7R8BB104
C23	CC0603KRX7R8BB104
C27	CC0603KRX7R8BB104
C28	CC0603KRX7R8BB104
C31	CC0603KRX7R8BB104
C38	CC0603KRX7R8BB104
C40	CC0603KRX7R8BB104
C42	CC0603KRX7R8BB104
C43	CC0603KRX7R8BB104
C44	CC0603KRX7R8BB104
C45	CC0603KRX7R8BB104
C46	CC0603KRX7R8BB104
C47	CC0603KRX7R8BB104
C48	CC0603KRX7R8BB104
C49	CC0603KRX7R8BB104
C50	CC0603KRX7R8BB104
C51	CC0603KRX7R8BB104
C52	CC0603KRX7R8BB104
R15	CRCW060310K0JNEAC
R18	CRCW060310K0JNEAC
R22	CRCW060310K0JNEAC
R25	CRCW060310K0JNEAC
R28	RN73R1JTTD1002D25
R42	CRCW060310K0JNEAC
R49	CRCW060310K0JNEAC
R50	RN73R1JTTD1002D25
R64	CRCW060310K0JNEAC
R67	CRCW060310K0JNEAC
R68	CRCW060310K0JNEAC
R70	CRCW060310K0JNEAC
R71	CRCW060310K0JNEAC
R72	CRCW060310K0JNEAC
R73	CRCW060310K0JNEAC
R74	CRCW060310K0JNEAC
R75	CRCW060310K0JNEAC
R76	CRCW060310K0JNEAC
R77	CRCW060310K0JNEAC
R78	CRCW060310K0JNEAC
R83	CRCW060310K0JNEAC
R84	CRCW060310K0JNEAC
R85	CRCW060310K0JNEAC
R86	CRCW060310K0JNEAC
R87	CRCW060310K0JNEAC
R88	CRCW060310K0JNEAC
R89	CRCW060310K0JNEAC
R90	CRCW060310K0JNEAC
C2	GRM188R61A106KE69J
C8	GRM188R61A106KE69J
C11	GRM188R61A106KE69J
C20	GRM188R61A106KE69J
C24	GRM188R61A106KE69J
C25	GRM188R61A106KE69J
C26	GRM188R61A106KE69J
C39	GRM188R61A106KE69J
C41	GRM188R61A106KE69J
R40	CRCW06030000Z0EAC
C6	GRM188R61E106KA73J
C14	GRM188R61E106KA73J
C37	GRM188R61E106KA73J
R1	RC0603FR-0712KL
R2	RC0603FR-0712KL
C16	C0603C102M5RACTU
C7	EMZR250ARA221MF80G
C29	C0402C220J5GAC7411
C30	C0402C220J5GAC7411
R81	CRGCQ0603F2K2
R82	CRGCQ0603F2K2
JTAG1	M50-3600542R
Y3	FC-135 32.7680KA-A3
R30	ERJ-PB3D4532V
R52	ERJ-PB3D7322V
IC2	ADS1115IDGSR
IC4	ADS1115IDGSR
IC5	ADS1115IDGSR
S1	B3F-3120
T1	BC847A-TP
T2	BC847A-TP
FB1	BLM18PG121SN1D
FB2	BLM18PG121SN1D
R23	CRCW06030000Z0EAC
FB3	BLM18PG121SN1D
FB4	BLM18PG121SN1D
FB5	BLM18PG121SN1D
FB6	BLM18PG121SN1D
FB7	BLM18PG121SN1D
FB8	BLM18PG121SN1D
FB9	BLM18PG121SN1D
U$3	Wurth 61200621621
U$8	Wurth 61200621621
U$9	Wurth 61200621621
U$10	Wurth 61200621621
U$11	Wurth 61200621621
U$12	Wurth 61200621621
U$13	Wurth 61200621621
U$14	Wurth 61200621621
U$15	Wurth 61200621621
U$16	Wurth 61200621621
IC1	CP2101-GM
C10	
C17	
R29	
R51	
U2	ESP32-WROOM-32
J2	CES-106-01-T-D
FAN_5V	640456-2
Q2	FDN306P
Q5	FDN306P
Q6	FDN306P
Q8	FDN306P
Q9	FDN306P
Q10	FDN306P
Q11	FDN306P
Q12	FDN306P
Q13	FDN306P
Q14	FDN306P
Q15	FDN306P
FID1	
FID2	
FID4	
U$2	HTMS-103-03-T-D-SM
IC9	LDK320ADU50R
D8	LTL2R3KGD-EM
IC3	P82B715DR
U1	"PCA9509DP	118"
IC8	"PCA9555PW	112"
D1	PESD1CAN-UX
D2	PESD1CAN-UX
D4	PESD1CAN-UX
D6	PESD1CAN-UX
J4	GSD090012SEU
Q3	SI2300DS-T1-GE3
J3	PJ-031C
X1	TB001-500-02BE
U$1	TPS563249DDCR
U$4	TPS563249DDCR
TP1	
TP2	
TP3	
TP4	
TP5	
TP6	
TP7	
TP8	
TP9	
TP10	
TP11	
TP12	
TP13	
TP14	
TP15	
TP16	
TP17	
TP19	
TP20	
TP21	
L2	SRN6045TA-1R5Y
L3	SRN6045TA-1R5Y
J5	Molex 105133-0001
